artifact_edge_id	loop_ref	artifact_object_id	artifact_role	artifact_category	coverage_resolution	coverage_evidence_kind	coverage_evidence_locator	review_mode	parent_metadata_digest	discovery_manifest_digest
artifact-edge-000756294308431	loop-105451976106970	artifact-object-264158322595193	definition	definition	discovered	parent_metadata	parent:definition_metadata	independent_review_approved	sha256:b8abb3c9:b6192a85:fe013977:f266f696:b98b33eb:39e8470f:b634f419:9e66bb3d	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-000846112130030	loop-266933997977235	artifact-object-264158322595193	definition	definition	discovered	parent_metadata	parent:definition_metadata	independent_review_approved	sha256:887a7850:71865c19:997a58b6:345ab06b:ceb7e756:5b22a7c8:0d44d93b:16e958ce	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-001139045386197	loop-067932980345690	artifact-object-238425717253666	definition	definition	discovered	parent_metadata	parent:definition_metadata	independent_review_approved	sha256:08b337a8:b1678104:f78bb011:48d70c6c:428eb753:a589c8c9:c879e528:b85666c8	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-001240540111524	loop-007711018030296	artifact-object-153616161406163	definition	definition	discovered	parent_metadata	parent:definition_metadata	independent_review_approved	sha256:00158725:1a131c74:cc7a7000:adce1e2b:b80285c4:d0487e34:c5004b04:2cc01716	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-001323887451134	loop-240643888934516	artifact-object-185297123843262	category_coverage	log	unverified	unverified	unverified	independent_review_approved	sha256:68e98737:86a47603:914bd624:25dd819f:27aaf541:5d196d51:d8ecf509:2b0e1c10	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-001435566055575	loop-213689211812296	artifact-object-264158322595193	definition	definition	discovered	parent_metadata	parent:definition_metadata	independent_review_approved	sha256:4c3bdd2d:31051b83:b0d561d8:3b58d4f6:d4e82be2:2017e51d:332298c7:a720c1d0	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-001439833058277	loop-193053161484370	artifact-object-135384827864504	category_coverage	cache	unverified	unverified	unverified	independent_review_approved	sha256:61459a86:7b6a48f3:f2341789:fe9a0359:333658ff:a0f94bfb:a85521b5:9fcf1af9	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-001643661898030	loop-201428307234688	artifact-object-100726454068850	category_coverage	transcript	unverified	unverified	unverified	independent_review_approved	sha256:5883aabf:1abc2e32:ea1af724:11cd66a0:14a053ff:1a6ee01f:60c865a2:39e5f7c7	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-001699578702525	loop-185721966664208	artifact-object-124475548163238	category_coverage	state	unverified	unverified	unverified	independent_review_approved	sha256:04fecac6:2ccf32c2:d4732fff:66973efe:24d22860:19ff466e:d0fe0564:def4c50e	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-001798120468818	loop-215229783966244	artifact-object-214938912290337	category_coverage	media	unverified	unverified	unverified	independent_review_approved	sha256:87215037:81d5b205:c98cf4ed:602172bb:e5497d4d:9e13ccd3:f70efa3e:4aaeb55d	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
