window,row_id,edge,confidence,resolve_horizon_days,liquidity,price,outcome
0,w0-r0,0.278,7.2,27,15690.04,0.645,1
0,w0-r1,0.203,7.6,20,6413.32,0.487,0
0,w0-r2,0.211,7.3,16,18201.67,0.475,0
0,w0-r3,0.318,9.3,28,8419.94,0.356,1
0,w0-r4,0.222,6.9,12,7948.42,0.589,1
0,w0-r5,0.328,8.1,18,7514.91,0.488,1
0,w0-r6,0.071,3.0,22,6375.35,0.599,0
0,w0-r7,0.261,7.7,14,5548.21,0.356,0
0,w0-r8,0.332,9.5,28,5309.22,0.52,0
0,w0-r9,0.032,3.4,3,9240.6,0.411,0
0,w0-r10,0.05,4.5,28,10811.57,0.596,1
0,w0-r11,0.251,7.2,27,6330.43,0.447,0
0,w0-r12,0.123,2.1,17,16502.5,0.357,1
0,w0-r13,0.09,5.0,4,12022.3,0.446,0
1,w1-r0,0.131,4.1,21,19566.52,0.456,0
1,w1-r1,0.198,6.5,15,14726.77,0.635,0
1,w1-r2,0.305,8.4,22,15608.44,0.393,1
1,w1-r3,0.257,6.2,15,11336.57,0.42,0
1,w1-r4,0.255,7.4,7,12081.65,0.502,0
1,w1-r5,0.274,6.1,4,18732.83,0.524,1
1,w1-r6,0.038,4.4,21,7107.05,0.442,0
1,w1-r7,0.269,7.7,3,8087.89,0.392,0
1,w1-r8,0.273,9.1,4,15971.37,0.357,1
1,w1-r9,0.201,8.7,24,8735.12,0.537,1
1,w1-r10,0.195,6.8,16,10822.37,0.401,0
1,w1-r11,0.3,8.7,22,11015.45,0.363,0
1,w1-r12,0.046,4.7,14,12186.23,0.414,1
1,w1-r13,0.023,2.2,17,15690.86,0.615,0
2,w2-r0,0.12,2.3,20,1512.36,0.547,0
2,w2-r1,0.17,6.3,22,10159.57,0.397,0
2,w2-r2,0.242,6.8,18,17847.75,0.646,0
2,w2-r3,0.139,3.6,23,4605.92,0.559,1
2,w2-r4,0.026,2.3,7,941.31,0.481,0
2,w2-r5,0.246,7.6,10,3725.1,0.622,1
2,w2-r6,0.161,6.7,14,1723.42,0.461,1
2,w2-r7,0.088,4.1,5,7368.03,0.396,1
2,w2-r8,0.214,10.0,5,10317.6,0.579,1
2,w2-r9,0.127,3.3,24,10111.36,0.472,0
2,w2-r10,0.233,7.6,8,8623.15,0.436,1
2,w2-r11,0.105,2.6,5,14278.09,0.386,1
2,w2-r12,0.326,9.6,26,11233.69,0.42,1
2,w2-r13,0.07,2.5,11,14691.27,0.362,1
3,w3-r0,0.274,8.2,22,14222.12,0.366,1
3,w3-r1,0.113,3.7,23,4650.8,0.616,1
3,w3-r2,0.212,6.5,3,13480.49,0.474,0
3,w3-r3,0.226,7.1,13,15881.77,0.62,0
3,w3-r4,0.278,8.4,27,6778.76,0.598,1
3,w3-r5,0.081,5.2,26,12105.05,0.537,0
3,w3-r6,0.235,8.9,4,1669.24,0.497,1
3,w3-r7,0.236,7.8,21,15334.37,0.39,1
3,w3-r8,0.064,4.3,21,10695.02,0.596,1
3,w3-r9,0.063,5.3,11,15495.19,0.493,0
3,w3-r10,0.164,6.3,5,18391.32,0.422,1
3,w3-r11,0.247,6.1,19,15396.65,0.549,0
3,w3-r12,0.139,2.9,18,17759.99,0.565,0
3,w3-r13,0.239,7.2,27,14153.63,0.466,0
4,w4-r0,0.206,9.3,13,8282.45,0.589,1
4,w4-r1,0.238,7.5,25,12073.29,0.555,1
4,w4-r2,0.027,3.2,11,8324.47,0.631,0
4,w4-r3,0.19,6.1,5,1688.59,0.372,1
4,w4-r4,0.073,4.3,20,1169.64,0.524,0
4,w4-r5,0.246,6.3,6,6447.57,0.489,0
4,w4-r6,0.346,9.8,8,8293.32,0.561,1
4,w4-r7,0.134,4.3,17,11139.16,0.648,1
4,w4-r8,0.168,7.3,26,8008.12,0.46,1
4,w4-r9,0.24,6.7,28,17310.85,0.362,0
4,w4-r10,0.309,9.8,16,12363.95,0.359,0
4,w4-r11,0.225,6.5,9,7757.04,0.465,1
4,w4-r12,0.202,7.4,16,674.34,0.355,0
4,w4-r13,0.324,9.2,10,8404.9,0.47,0
5,w5-r0,0.27,7.0,15,12070.89,0.554,1
5,w5-r1,0.218,8.1,4,7408.11,0.623,1
5,w5-r2,0.178,6.1,28,9366.24,0.574,0
5,w5-r3,0.298,8.7,10,12064.85,0.593,1
5,w5-r4,0.315,7.7,26,4976.82,0.408,0
5,w5-r5,0.198,6.5,4,3992.42,0.612,1
5,w5-r6,0.282,7.8,13,6620.14,0.544,1
5,w5-r7,0.184,7.2,23,5033.22,0.389,0
5,w5-r8,0.264,7.2,4,17263.06,0.443,0
5,w5-r9,0.246,8.9,21,13905.48,0.448,0
5,w5-r10,0.115,2.7,18,4179.21,0.571,1
5,w5-r11,0.169,7.1,26,8778.67,0.579,1
5,w5-r12,0.223,7.2,18,9806.53,0.378,0
5,w5-r13,0.105,2.7,5,19986.52,0.583,0
